flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.347714,0.000000,1.67,0.00
0.340429,0.000000,1.68,0.00
0.333000,0.000000,1.70,0.00
0.325429,0.000000,1.71,0.00
0.317857,0.000000,1.73,0.00
0.310286,0.000000,1.75,0.00
0.302571,0.000000,1.77,0.00
0.294857,0.000000,1.79,0.00
0.287000,0.000000,1.82,0.00
0.279143,0.000000,1.85,0.00
0.271286,0.000000,1.88,0.00
0.263286,0.000000,1.92,0.00
0.255286,0.000000,1.95,0.00
0.247286,0.000000,1.98,0.00
0.239143,0.000000,2.02,0.00
0.231000,0.000000,2.06,0.00
0.222857,0.000000,2.10,0.00
0.214714,0.000000,2.15,0.00
0.206429,0.000000,2.19,0.00
0.198143,0.000000,2.23,0.00
0.189857,0.000000,2.27,0.00
0.181571,0.000000,2.31,0.00
0.173143,0.000000,2.35,0.00
0.164714,0.000000,2.39,0.00
0.156286,0.000000,2.43,0.00
0.147857,0.000000,2.46,0.00
0.139429,0.000000,2.49,0.00
0.131000,0.000000,2.52,0.00
0.122571,0.000000,2.55,0.00
0.114000,0.000000,2.58,0.00
0.105571,0.000000,2.60,0.00
0.097000,0.000000,2.62,0.00
0.088429,0.000000,2.63,0.00
0.080000,0.000000,2.64,0.00
0.071429,0.000000,2.65,0.00
0.000000,0.000000,2.66,0.00
0.000000,0.000000,2.66,0.00
0.000000,0.000000,2.66,0.00
0.000000,0.000000,2.65,0.00
0.000000,0.000000,2.64,0.00
0.000000,0.000000,2.62,0.00
0.000000,0.000000,2.60,0.00
0.000000,0.000000,2.58,0.00
0.000000,0.000000,2.55,0.00
0.000000,0.000000,2.51,0.00
0.086000,0.000000,2.48,0.00
0.100571,0.000000,2.44,0.00
0.115143,0.000000,2.40,0.00
0.129714,0.000000,2.35,0.00
0.144286,0.000000,2.31,0.00
0.158857,0.000000,2.26,0.00
0.173286,0.000000,2.22,0.00
0.187857,0.000000,2.17,0.00
0.202286,0.000000,2.12,0.00
0.216714,0.000000,2.08,0.00
0.231143,0.000000,2.03,0.00
0.245429,0.000000,1.99,0.00
0.259714,0.000000,1.94,0.00
0.274000,0.000000,1.90,0.00
0.288143,0.000000,1.85,0.00
0.302286,0.000000,1.81,0.00
0.316429,0.000000,1.76,0.00
0.330429,0.000000,1.72,0.00
0.344429,0.000000,1.67,0.00
0.358429,0.000000,1.62,0.00
0.372143,0.000000,1.57,0.00
0.386000,0.000000,1.51,0.00
0.399714,0.000000,1.46,0.00
0.413286,0.000000,1.41,0.00
0.426714,0.000000,1.36,0.00
0.440143,0.000000,1.31,0.00
0.453571,0.000000,1.26,0.00
0.466857,0.000000,1.21,0.00
0.480000,0.000000,1.17,0.00
0.493000,0.000000,1.13,0.00
0.506000,0.000000,1.08,0.00
0.518714,0.000000,1.04,0.00
0.531429,0.000000,0.99,0.00
0.544143,0.000000,0.95,0.00
0.556571,0.000000,0.90,0.00
0.569000,0.000000,0.85,0.00
0.581286,0.000000,0.81,0.00
0.593429,0.000000,0.76,0.00
0.605429,0.000000,0.72,0.00
0.617286,0.000000,0.68,0.00
0.629000,0.000000,0.64,0.00
0.640571,0.000000,0.60,0.00
0.652000,0.000000,0.56,0.00
0.663286,0.000000,0.52,0.00
0.674429,0.000000,0.49,0.00
0.685571,0.000000,0.46,0.00
0.696429,0.000000,0.43,0.00
0.707143,0.000000,0.40,0.00
0.717571,0.000000,0.38,0.00
0.728000,0.000000,0.35,0.00
0.738286,0.000000,0.33,0.00
0.748286,0.000000,0.30,0.00
0.758286,0.000000,0.28,0.00
0.768000,0.000000,0.26,0.00
0.777571,0.000000,0.23,0.00
0.786857,0.000000,0.21,0.00
0.796143,0.000000,0.20,0.00
0.805143,0.000000,0.18,0.00
0.814000,0.000000,0.17,0.00
0.822714,0.000000,0.17,0.00
0.831143,0.000000,0.17,0.00
0.839429,0.000000,0.17,0.00
0.847571,0.000000,0.17,0.00
0.855429,0.000000,0.17,0.00
0.863143,0.000000,0.17,0.00
0.870714,0.000000,0.17,0.00
